platform,raw,minor,major,naturally_unlinked
alibaba1688,代购代发,代购代发,dropship_cost,0
alibaba1688,1688买家保障,买家保障,software_fee,0
alibaba1688,1688供应链服务-跨境渠道,供应链服务-跨境渠道,software_fee,0
alibaba1688,1688增值服务-诚e赊服务费,诚e赊服务费,software_fee,0
alibaba1688,1688大分销业务平台抽佣,大分销业务平台抽佣,software_fee,0
alibaba1688,严选软件服务费及代运营服务费,严选软件服务费及代运营服务费,software_fee,0
alibaba1688,1688买家体验赔付,买家体验赔付,trade_compensation,0
alibaba1688,1688保证金-支付-产生交易理赔,保证金-支付-产生交易理赔,trade_compensation,0
alibaba1688,1688保证金-支付-违规罚金,保证金-支付-违规罚金,trade_compensation,0
alibaba1688,1688增值服务-诚e赊保险理赔,诚e赊保险理赔,trade_compensation,0
alibaba1688,1688客户挽留基金赔付,客户挽留基金赔付,trade_compensation,0
alibaba1688,阳光追缴_产生交易理赔,阳光追缴_产生交易理赔,trade_compensation,0
alibaba1688,0010001|交易收款-交易收款,交易收款,trade_receipt,0
alibaba1688,1688增值服务-诚e赊买家还款,诚e赊买家还款,trade_receipt,0
alibaba1688,1688增值服务-诚e赊收款,诚e赊收款,trade_receipt,0
alibaba1688,0020011|交易退款-交易退款,交易退款,trade_refund,0
alibaba1688,1688增值服务-诚e赊售后退款,诚e赊售后退款,trade_refund,0
alibaba1688,售后退款,售后退款,trade_refund,0
alibaba1688,其他支出\收入,提现,withdrawal,1
douyin,万相台,万相台,ad_topup,1
douyin,货款直投千川,货款直投千川,ad_topup,1
douyin,货款充值保证金,货款充值保证金,deposit,1
douyin,上门取件运费,上门取件运费,software_fee,0
douyin,偏远地区物流服务,偏远地区物流服务,software_fee,0
douyin,权益保险,权益保险,software_fee,0
douyin,其他费用,其他费用,trade_compensation,0
douyin,拦截费,拦截费,trade_compensation,0
douyin,欠票扣款-商家开票,欠票扣款-商家开票,trade_compensation,0
douyin,消费者赔付,消费者赔付,trade_compensation,0
douyin,评价有礼保证金扣款,评价有礼保证金扣款,trade_compensation,0
douyin,评价有礼活动资金回退,评价有礼活动资金回退,trade_compensation,0
douyin,货款结算入账,货款结算入账,trade_receipt,0
douyin,退款,退款,trade_refund,0
douyin,退款-极速退二阶段商家资金回补,退款-极速退二阶段商家资金回补,trade_refund,0
douyin,退款-结算后退款-退用户,退款-结算后退款-退用户,trade_refund,0
douyin,退款-订单退款触发-分账,退款-订单退款触发-分账,trade_refund,0
douyin,退款-订单退款触发-退分账,退款-订单退款触发-退分账,trade_refund,0
douyin,退款-订单退款触发-退补贴,退款-订单退款触发-退补贴,trade_refund,0
douyin,退款-退转付扣减商家货款,退款-退转付扣减商家货款,trade_refund,0
douyin,提现,提现,withdrawal,1
jd,交易服务费,交易服务费,software_fee,0
jd,价保返佣,价保返佣,software_fee,0
jd,佣金,佣金,software_fee,0
jd,其他费用,其他费用,software_fee,0
jd,商品保险服务费,商品保险服务费,software_fee,0
jd,平台券价保补贴,平台券价保补贴,software_fee,0
jd,平台券价保补贴佣金,平台券价保补贴佣金,software_fee,0
jd,广告联合活动降扣佣金,广告联合活动降扣佣金,software_fee,0
jd,综合违约金,综合违约金,software_fee,0
jd,运费保险服务费,运费保险服务费,software_fee,0
jd,随单送的京豆,随单送的京豆,software_fee,0
jd,售后卖家赔付费,售后卖家赔付费,software_fee,0
jd,返利框架费,返利框架费,software_fee,0
